Symbol;Name;Sector;ranking
AAPL;Apple Inc.;Information Technology;1
MSFT;Microsoft Corp.;Information Technology;2
AMZN;Amazon.com Inc.;Consumer Discretionary;3
FB;Facebook Inc.;Communication Services;4
GOOGL;Alphabet Inc. (Class A);Communication Services;5
GOOG;Alphabet Inc. (Class C);Communication Services;6
BRK-A;Berkshire Hathaway;Financials;7
JNJ;Johnson & Johnson;Health Care;8
JPM;JPMorgan Chase & Co.;Financials;9
V;Visa Inc.;Information Technology;10
PG;Procter & Gamble;Consumer Staples;11
NVDA;Nvidia Corporation;Information Technology;12
UNH;United Health Group Inc.;Health Care;13
MA;Mastercard Inc.;Information Technology;14
HD;Home Depot;Consumer Discretionary;15
DIS;The Walt Disney Company;Communication Services;16
PYPL;PayPal;Information Technology;17
VZ;Verizon Communications;Communication Services;18
CMCSA;Comcast Corp.;Communication Services;19
ADBE;Adobe Inc.;Information Technology;20
CRM;Salesforce.com;Information Technology;21
BAC;Bank of America Corp;Financials;22
NFLX;Netflix Inc.;Communication Services;23
WMT;Walmart;Consumer Staples;24
T;AT&T Inc.;Communication Services;25
KO;Coca-Cola Company;Consumer Staples;26
PFE;Pfizer Inc.;Health Care;27
MRK;Merck & Co.;Health Care;28
INTC;Intel Corp.;Information Technology;29
PEP;PepsiCo Inc.;Consumer Staples;30
ABT;Abbott Laboratories;Health Care;31
ABBV;AbbVie Inc.;Health Care;32
CSCO;Cisco Systems;Information Technology;33
TMO;Thermo Fisher Scientific;Health Care;34
CVX;Chevron Corp.;Energy;35
XOM;Exxon Mobil Corp.;Energy;36
COST;Costco Wholesale Corp.;Consumer Staples;37
NKE;Nike Inc.;Consumer Discretionary;38
MCD;McDonald's Corp.;Consumer Discretionary;39
QCOM;QUALCOMM Inc.;Information Technology;40
ACN;Accenture plc;Information Technology;41
AVGO;Broadcom Inc.;Information Technology;42
MDT;Medtronic plc;Health Care;43
NEE;NextEra Energy;Utilities;44
HON;Honeywell Int'l Inc.;Industrials;45
TXN;Texas Instruments;Information Technology;46
