"","source","target","weight"
"1","INSTRUCTOR","YOUNG COSTELLO","1"
"2","YOUNG PRIEST","BILLY","1"
"3","YOUNG PRIEST","PRIESTS","1"
"4","YOUNG PRIEST","COSTELLO","1"
"5","SPEAKER","COSTELLO","1"
"6","QUEENAN'S SECRETARY","BROWN","1"
"7","QUEENAN'S SECRETARY","COLIN","1"
"8","CAMERA GEEK COP","ELLERBY","1"
"9","ASAP","QUEENAN","1"
"10","ASAP","BILLY","1"
"11","BRIAN","FRENCH","1"
"12","ELLERBY","COLIN","4"
"13","ELLERBY","SGT DIGNAM","1"
"14","ELLERBY","PHONE TECH COP","1"
"15","ELLERBY","COSTELLO","1"
"16","ELLERBY","BROWN","2"
"17","ELLERBY","DIGNAM","2"
"18","ELLERBY","QUEENAN","2"
"19","ELLERBY","LAZIO","2"
"20","ELLERBY","REPORTER","1"
"21","CHINESE TRANSLATOR","CHINESE GANGSTER","1"
"22","CHINESE TRANSLATOR","COSTELLO","1"
"23","DOME","REALTOR","1"
"24","DOME","COLIN","1"
"25","BROWN","BARRIGAN","3"
"26","BROWN","BILLY","2"
"27","BROWN","QUEENAN","1"
"28","BROWN","COLIN","8"
"29","MISTER FRENCH","FITZY","1"
"30","MISTER FRENCH","BARTENDER","1"
"31","MISTER FRENCH","BOOKIE","1"
"32","MISTER FRENCH","GWEN","1"
"33","MISTER FRENCH","COSTELLO","5"
"34","MISTER FRENCH","FRENCH","1"
"35","MISTER FRENCH","SEAN","1"
"36","MISTER FRENCH","DELAHUNT","1"
"37","MISTER FRENCH","BILLY","4"
"38","MISTER FRENCH","NEWS ANCHOR","1"
"39","BARTENDER","BILLY","1"
"40","BARTENDER","COSTELLO","1"
"41","PRIESTS","BILLY","1"
"42","PRIESTS","COSTELLO","1"
"43","LAZIO","SGT DIGNAM","1"
"44","LAZIO","PHONE TECH COP","1"
"45","LAZIO","QUEENAN","1"
"46","LAZIO","DIGNAM","1"
"47","LAZIO","COLIN","1"
"48","FBI","QUEENAN","1"
"49","FBI","BILLY","1"
"50","DELAHUNT","BILLY","2"
"51","DELAHUNT","FITZY","2"
"52","BILLY","SGT DIGNAM","2"
"53","BILLY","QUEENAN","6"
"54","BILLY","UNCLE","1"
"55","BILLY","PROPRIETOR","1"
"56","BILLY","BOOKIE","1"
"57","BILLY","BARRIGAN","1"
"58","BILLY","MADOLYN","5"
"59","BILLY","COSTELLO","7"
"60","BILLY","BILL","1"
"61","BILLY","DIGNAM","3"
"62","BILLY","DRILL INSTRUCTOR","1"
"63","BILLY","SEAN","3"
"64","BILLY","BANKROBBER","1"
"65","BILLY","COLIN","4"
"66","BILLY","GWEN","1"
"67","BILLY","FRENCH","1"
"68","BILLY","FITZY","2"
"69","BILLY","OTHER PRISONER","1"
"70","BILLY","BILLY'S AUNT","2"
"71","BILLY'S AUNT","SEAN","1"
"72","NEWS ANCHOR","COSTELLO","1"
"73","NEWS ANCHOR","FITZY","1"
"74","FITZY","COSTELLO","1"
"75","FITZY","QUEENAN","1"
"76","FITZY","COLIN","1"
"77","DETECTIVE 2","DETECTIVE 1","2"
"78","DETECTIVE 2","COLIN","1"
"79","DETECTIVE 1","DETECTIVE 4","1"
"80","DETECTIVE 1","COLIN","2"
"81","SGT DIGNAM","COLIN","1"
"82","SGT DIGNAM","QUEENAN","1"
"83","SGT DIGNAM","DIGNAM","1"
"84","QUEENAN","COSTELLO","1"
"85","QUEENAN","COLIN","2"
"86","QUEENAN","PHONE TECH COP","1"
"87","QUEENAN","DIGNAM","5"
"88","PHONE TECH COP","DIGNAM","1"
"89","PROPRIETOR","YOUNG COLIN","1"
"90","PROPRIETOR","COLIN","1"
"91","PROPRIETOR","YOUNG COSTELLO","1"
"92","PROPRIETOR","COSTELLO","1"
"93","BILL","COLIN","1"
"94","YOUNG COSTELLO","YOUNG COLIN","2"
"95","YOUNG COSTELLO","COSTELLO","1"
"96","YOUNG COSTELLO","COLIN","1"
"97","MADOLYN","COLIN","5"
"98","MADOLYN","GWEN","1"
"99","MADOLYN","COSTELLO","3"
"100","FADE UP ON","COSTELLO","1"
"101","COSTELLO","JIMMY","1"
"102","COSTELLO","CHINESE GANGSTER","1"
"103","COSTELLO","YOUNG COLIN","1"
"104","COSTELLO","COLIN","6"
"105","COSTELLO","GWEN","2"
"106","COSTELLO","FRENCH","2"
"107","COSTELLO","DIGNAM","1"
"108","SEAN","FRENCH","1"
"109","MRS KENNEFICK","BARRIGAN","1"
"110","MRS KENNEFICK","COLIN","1"
"111","COLIN","BARRIGAN","6"
"112","COLIN","REALTOR","1"
"113","COLIN","VOICE ON PHONE","1"
"114","COLIN","GWEN","1"
"115","COLIN","FRENCH","1"
"116","COLIN","YOUNG COLIN","1"
"117","COLIN","DIGNAM","2"
